"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000000409",63.9101732621168,0.542165698824025,0.22574157208408,2.40170959127585,0.0163186577706268,0.0935517855662331,"Lck","16818"
"ENSMUSG00000002083",351.203794787945,0.891843695217993,0.10178326669206,8.76218384615438,1.91503612789453e-18,5.33772797102239e-16,"Bbc3","170770"
"ENSMUSG00000013523",77.6706352790492,0.52576160354465,0.200957074353599,2.61628810648155,0.00888915177566338,0.0597678494389998,"Bcas1","76960"
"ENSMUSG00000015134",113.271344359299,0.755283933655205,0.190126606382132,3.97253150428181,7.11128274174728e-05,0.00131344535459019,"Aldh1a3","56847"
"ENSMUSG00000017740",72.6032727706238,0.755936835149725,0.225467141822461,3.35275831786155,0.00080010539307134,0.00948983804702796,"Slc12a5","57138"
"ENSMUSG00000019734",141.92088559343,0.500985192559626,0.177331871125887,2.82512776399895,0.0047261766549291,0.0370126631520118,"Tmc4","353499"
"ENSMUSG00000020108",736.783850954879,0.615569114277121,0.114055155588,5.39711783394284,6.77199155136432e-08,3.09894419350493e-06,"Ddit4","74747"
"ENSMUSG00000025743",978.311320665655,0.535719899790591,0.0828990402233159,6.46231727589913,1.0311161891355e-10,9.43702159966996e-09,"Sdc3","20970"
"ENSMUSG00000025912",80.6028061819728,0.516088970814968,0.206947350143495,2.49381772927809,0.01263774216462,0.0786747562979186,"Mybl1","17864"
"ENSMUSG00000026048",302.372164103409,0.562822092760573,0.122091615463905,4.60983410385756,4.02990416608406e-06,0.000116015832612336,"Ercc5","22592"
"ENSMUSG00000026193",14686.5020940708,0.565852813119493,0.113395211232525,4.99009444022438,6.03497799546659e-07,2.10264119705688e-05,"Fn1","14268"
"ENSMUSG00000026358",94.2084423346856,0.560559410204442,0.225526053791863,2.48556386625636,0.0129346375634895,0.0797939613071604,"Rgs1","50778"
"ENSMUSG00000026817",73.5527154689321,0.862461663462572,0.22824458995339,3.77867297375459,0.000157666317263852,0.00253755868100247,"Ak1","11636"
"ENSMUSG00000027171",148.11027871948,0.664608022863025,0.152539327450182,4.35696180108097,1.31880273034022e-05,0.000320989081188431,"Prrg4","228413"
"ENSMUSG00000027663",225.115999458225,1.16922678608476,0.138303499364138,8.45406509206479,2.8133235032063e-17,6.90051988866441e-15,"Zmat3","22401"
"ENSMUSG00000028238",290.751899228814,0.580370557285668,0.116800159416687,4.96891922223483,6.73271078860847e-07,2.30642360646632e-05,"Atp6v0d2","242341"
"ENSMUSG00000029108",65.5670641750998,0.886966475092496,0.28063721025057,3.16054479839134,0.00157474386992073,0.015856041724719,"Pcdh7","54216"
"ENSMUSG00000029304",5626.10768615023,0.746706589823178,0.0908421371131666,8.2198263223703,2.03798099662455e-16,4.46317838260776e-14,"Spp1","20750"
"ENSMUSG00000029673",42.6002292217021,0.960626895426199,0.315029110574972,3.04932738969081,0.00229354389262031,0.0211229786913004,"Auts2","319974"
"ENSMUSG00000030257",100.242550906605,0.554440852327189,0.179004655050061,3.0973543798184,0.00195256300812237,0.0190049466123911,"Srgap3","259302"
"ENSMUSG00000030641",386.982754358152,0.845758600305365,0.115109407541306,7.34743248506315,2.02050294209927e-13,3.02188391242749e-11,"Ddias","74041"
"ENSMUSG00000031297",42.3866213558599,1.07467742042718,0.335563725423906,3.20260307954795,0.00136191549888553,0.0141067963516712,"Slc7a3","11989"
"ENSMUSG00000032641",99.0899570325576,0.589549248944785,0.199354521451466,2.95729058288911,0.00310355486554456,0.0267665238192957,"Gpr19","14760"
"ENSMUSG00000032750",99.5973713770452,0.50734048757092,0.184290516853996,2.75293865485688,0.00590629623810729,0.0439531656942644,"Gab3","210710"
"ENSMUSG00000033209",58.9042771418118,0.69353474596018,0.247592590214399,2.80111268822554,0.00509267321624098,0.0394296365681688,"Ttc28","209683"
"ENSMUSG00000034171",74.5298381412888,0.503864779247836,0.21182146150685,2.37872392940477,0.01737268147732,0.0973759440758008,"Faah","14073"
"ENSMUSG00000034457",41.4522330100116,2.624230287689,0.415053961588909,6.3226243586326,2.57157914526727e-10,2.19012823871929e-08,"Eda2r","245527"
"ENSMUSG00000034903",58.4533705326342,0.62829840581886,0.239040234486077,2.62842114077434,0.00857822422597628,0.058381432800984,"Cobll1","319876"
"ENSMUSG00000035692",41.7393556262506,0.788912245553844,0.322670857957976,2.44494420892695,0.014487455096341,0.0867549557136357,"Isg15","100038882"
"ENSMUSG00000036256",83.0400687907226,0.60796431891973,0.189608337258257,3.20642186789312,0.00134396796627508,0.014063810822024,"Igfbp7","29817"
"ENSMUSG00000036928",150.203096628756,0.762238817749904,0.164903448104436,4.62233401734066,3.79446392929353e-06,0.000110954802559865,"Stag3","50878"
"ENSMUSG00000037108",77.3382034148179,0.822314739499728,0.225914950718416,3.63993058841277,0.000272711545203799,0.00394402640374928,"Zcwpw1","381678"
"ENSMUSG00000038456",322.822097340839,0.737656543735127,0.107958193074464,6.83279816684529,8.32740815212516e-12,9.45623459052435e-10,"Dennd2a","209773"
"ENSMUSG00000038539",1028.89923479999,0.741980714019284,0.0657474724031815,11.2853116157722,1.55090990550478e-29,3.17005984685177e-26,"Atf5","107503"
"ENSMUSG00000040918",457.104241131487,0.529739988615666,0.0923845683858036,5.7340744008614,9.80462886543464e-09,5.72590325741383e-07,"Slc19a2","116914"
"ENSMUSG00000041801",92.890944883112,2.65058009426264,0.251219065912663,10.5508715456498,5.03280609291785e-26,3.85764587022153e-23,"Phlda3","27280"
"ENSMUSG00000043421",301.358543379454,0.555216880802072,0.132465546066915,4.19140597149394,2.77231082006916e-05,0.000604975443012956,"Hilpda","69573"
"ENSMUSG00000045502",1193.76592581082,0.518280748099278,0.190476871507264,2.72096419895007,0.00650918106213789,0.0471800215993257,"Hcar2","80885"
"ENSMUSG00000049791",108.414164667726,0.565854202108683,0.225687940331777,2.50724164205157,0.0121677496999102,0.0761353481222955,"Fzd4","14366"
"ENSMUSG00000052415",79.4120996146516,0.813622395800456,0.232064351262577,3.50602059891506,0.000454860016323885,0.0061166702195133,"Tchh","99681"
"ENSMUSG00000052684",858.940447708299,0.728758378533123,0.0977997323722893,7.45153755389631,9.2258622258874e-14,1.41432467922854e-11,"Jun","16476"
"ENSMUSG00000053007",307.470252003692,0.503314218914643,0.109431006471097,4.59937484946352,4.2376067705065e-06,0.000120300947762712,"Creb5","231991"
"ENSMUSG00000054612",105.680485692052,0.552752040583225,0.187471409283123,2.94846047563683,0.00319360974175931,0.0272367384373687,"Mgmt","17314"
"ENSMUSG00000055723",64.902410401793,0.641693087425834,0.237803733802299,2.69841468494063,0.00696705933636865,0.0496190567370645,"Rras2","66922"
"ENSMUSG00000062515",96.8637074171774,1.03173325293489,0.181229488918402,5.6929656376144,1.24851521440964e-08,6.83562079889277e-07,"Fabp4","11770"
"ENSMUSG00000068744",391.205236688218,0.625376817891289,0.104115767855842,6.00655242496203,1.89509718062089e-09,1.27700394632608e-07,"Psrc1","56742"
"ENSMUSG00000070737",149.441857516639,0.546358769239883,0.142347467433427,3.83820505619746,0.000123936965575992,0.00206516704595648,"Tmem35b","100039968"
"ENSMUSG00000073755",66.8868253527467,0.615678187138635,0.24990487618531,2.46365015575805,0.0137530275685129,0.0835813330526475,"5730409E04Rik","230757"
"ENSMUSG00000073888",55.7604858296707,0.851921857696773,0.265099035017766,3.21359848646631,0.00131082834627578,0.0137636976358957,"Ccl27a","20301"
"ENSMUSG00000074738",48.948020044123,0.691176861637141,0.26110711658236,2.64710081702858,0.00811851454929085,0.0563153068057143,"Fndc10","230991"
"ENSMUSG00000078137",50.5080579259475,0.867244617780331,0.274520603170058,3.159123970171,0.00158244161908174,0.0158813944487876,"Ankrd63","383787"
"ENSMUSG00000078570",63.2268604407219,0.610411619359832,0.23319565386902,2.61759432147344,0.00885520114876079,0.0596049324305172,"1110065P20Rik","68920"
"ENSMUSG00000078716",70.8006695584574,0.542987056530768,0.222961226233434,2.4353429773582,0.0148776802761565,0.0883979382450196,"Tmem8b","242409"
"ENSMUSG00000085037",86.7919869904262,0.504857991135891,0.210114505161806,2.40277552826306,0.0162711718287488,0.0935517855662331,"4933421O10Rik","100504166"
"ENSMUSG00000092035",101.230433048433,0.775192953345325,0.240243839810152,3.22669232209203,0.00125230040899216,0.0133549671442434,"Peg10","170676"
"ENSMUSG00000106464",79.4723311611702,0.874024712442862,0.214190967233419,4.08058623448101,4.49222591918145e-05,0.000918210977880689,"C130083M11Rik","414111"
